Desa TEGALRANDU Kecamatan SRUMBUNG Kabupaten MAGELANG,village,-7.569318118951207,110.34491861676513
Desa PARAS Kecamatan CEPOGO Kabupaten BOYOLALI,village,-7.521288435845795,110.5401965165912
Desa SUMBUNG Kecamatan CEPOGO Kabupaten BOYOLALI,village,-7.5206697179491195,110.52351805417514
Desa MUSUK Kecamatan MUSUK Kabupaten BOYOLALI,village,-7.530325009992557,110.5519932781446
Desa BALERANTE Kecamatan KEMALANG Kabupaten KLATEN,village,-7.614241682177333,110.4805711017507
Desa KALIURANG Kecamatan SRUMBUNG Kabupaten MAGELANG,village,-7.603914126099314,110.36385762170548
Desa KEMIREN Kecamatan SRUMBUNG Kabupaten MAGELANG,village,-7.599258605751498,110.36040963024166
Desa NGABLAK Kecamatan SRUMBUNG Kabupaten MAGELANG,village,-7.5702004482394045,110.39607962141886
Desa NGABLAK Kecamatan SRUMBUNG Kabupaten MAGELANG,village,-7.591159317620727,110.35238200738428
Desa NGLUMUT Kecamatan SRUMBUNG Kabupaten MAGELANG,village,-7.6078154349201474,110.36703214334689
Desa PANGGANG Kecamatan KEMALANG Kabupaten KLATEN,village,-7.623813660156694,110.48492058639447
Desa BAWUKAN Kecamatan KEMALANG Kabupaten KLATEN,village,-7.654601790599128,110.47867735792876
Desa BAWUKAN Kecamatan KEMALANG Kabupaten KLATEN,village,-7.644431894315245,110.48769436997442
Desa BUMIHARJO Kecamatan KEMALANG Kabupaten KLATEN,village,-7.623519191405343,110.49722859286886
Desa BUMIHARJO Kecamatan KEMALANG Kabupaten KLATEN,village,-7.617304416575208,110.50892098201368
Desa DOMPOL Kecamatan KEMALANG Kabupaten KLATEN,village,-7.628558240529162,110.51450099276857
Desa DOMPOL Kecamatan KEMALANG Kabupaten KLATEN,village,-7.639869293732898,110.50341759924014
Desa DOMPOL Kecamatan KEMALANG Kabupaten KLATEN,village,-7.638041405068015,110.51354075899579
Desa JEMOWO Kecamatan CEPOGO Kabupaten BOYOLALI,village,-7.582549879575836,110.52002975455261
nan,village,-7.5872503020466695,110.50102806022228
Desa KENDALSARI Kecamatan KEMALANG Kabupaten KLATEN,village,-7.642921387851435,110.49807414731853
Desa KEPURUN Kecamatan MANISRENGGO Kabupaten KLATEN,village,-7.667531927577425,110.4826839317699
Desa LAMPAR Kecamatan MUSUK Kabupaten BOYOLALI,village,-7.61465006270715,110.53485227373282
Desa PANGGANG Kecamatan KEMALANG Kabupaten KLATEN,village,-7.633793929045543,110.48537000483286
Desa PANGGANG Kecamatan KEMALANG Kabupaten KLATEN,village,-7.637045895367329,110.47630367893738
nan,village,-7.570215603468051,110.4860296547217
Desa SANGUP Kecamatan MUSUK Kabupaten BOYOLALI,village,-7.57696386167745,110.49938382841074
Desa SIDOREJO Kecamatan KEMALANG Kabupaten KLATEN,village,-7.569493859414599,110.47165780715102
Desa SIDOREJO Kecamatan KEMALANG Kabupaten KLATEN,village,-7.6132282557294095,110.49631240675515
Desa SIDOREJO Kecamatan KEMALANG Kabupaten KLATEN,village,-7.612331223564245,110.48787924491417
Desa SIDOREJO Kecamatan KEMALANG Kabupaten KLATEN,village,-7.600976947614027,110.49315694515998
Desa TANGKIL Kecamatan KEMALANG Kabupaten KLATEN,village,-7.6291834397424525,110.5233061231951
nan,village,-7.616591991169586,110.52035393961185
Desa TEGALMULYO Kecamatan KEMALANG Kabupaten KLATEN,village,-7.588003798210296,110.49193380493827
nan,village,-7.598743912294371,110.51412021371095
Desa CLUNTANG Kecamatan MUSUK Kabupaten BOYOLALI,village,-7.535230571900974,110.46300856406413
Desa CLUNTANG Kecamatan MUSUK Kabupaten BOYOLALI,village,-7.551438529790971,110.51483213817463
Desa JEMOWO Kecamatan CEPOGO Kabupaten BOYOLALI,village,-7.597444157947049,110.52299729591662
Desa MRIYAN Kecamatan MUSUK Kabupaten BOYOLALI,village,-7.559296596286987,110.50635190968312
Desa MRIYAN Kecamatan MUSUK Kabupaten BOYOLALI,village,-7.553348495842186,110.5064491390197
Desa SANGUP Kecamatan MUSUK Kabupaten BOYOLALI,village,-7.56628095684195,110.50950735571418
Desa SANGUP Kecamatan MUSUK Kabupaten BOYOLALI,village,-7.569694519704577,110.50686289089508
Desa SRUNI Kecamatan MUSUK Kabupaten BOYOLALI,village,-7.558034778028133,110.52955545181511
